,0
2016-05-09,-0.013711351740323896
2016-05-10,0.004426795327730826
2016-05-11,0.009676802509245075
2016-05-12,0.000513067458933314
2016-05-13,-0.004385992215130363
2016-05-16,0.005605852518961285
2016-05-17,-0.004465899315319488
2016-05-18,-0.009777791769985722
2016-05-19,9.705334336218563e-05
2016-05-20,0.003030563366368755
2016-05-23,0.0046373618928441385
2016-05-24,-0.005445461470433344
2016-05-25,-0.0028048360996748567
2016-05-26,-0.0007441188148342714
2016-05-27,0.0015032005599611153
2016-05-30,-0.008906255097223537
2016-05-31,0.01286907104347379
2016-06-01,-0.0007704458509889545
2016-06-02,0.0014504145654437028
2016-06-03,0.003755137011418608
2016-06-06,-0.0003033711851745391
2016-06-07,-0.014026270444352007
2016-06-08,-0.0043221955595869055
2016-06-13,-0.01837629534302032
2016-06-14,0.00031669153853308707
2016-06-15,0.0032265690339168263
2016-06-16,-0.005384477686654843
2016-06-17,0.0022526916828595756
2016-06-20,-0.0006414795877657253
2016-06-21,-0.0028548528489925618
2016-06-22,0.00631071131866201
2016-06-23,-0.00426107100636075
2016-06-24,-0.008173272447521307
2016-06-27,0.011349672086560902
2016-06-28,-0.005877335340902845
2016-06-29,0.00408236604067258
2016-06-30,-0.0006083088431350081
2016-07-01,0.001289790035860383
2016-07-04,0.019689710775646185
2016-07-05,0.005899000053092074
2016-07-06,0.0077664050570969145
2016-07-07,-0.0069576221228646595
2016-07-08,-0.009096365535128936
2016-07-11,0.0049212936574245525
2016-07-12,0.019805877344001743
2016-07-13,-0.0028944692069944322
2016-07-14,-0.0028377307069022972
2016-07-15,-0.0003534508714462259
2016-07-18,-0.005468703587181434
2016-07-19,-0.0029983156634182384
2016-07-20,-0.001227478747828692
2016-07-21,0.004386503574015821
2016-07-22,-0.0056074068917294495
2016-07-25,0.0015904468305665276
2016-07-26,0.009572342596637862
2016-07-27,-0.014164921309470002
2016-07-28,0.004219047892390693
2016-07-29,-0.007080783890705766
2016-08-01,-0.005791609777726858
2016-08-02,0.0038210648658882906
2016-08-03,0.002207660449596194
2016-08-04,0.0031891808600039706
2016-08-05,-0.001424103205780014
2016-08-08,0.011289753279178472
2016-08-09,0.0027379630588515447
2016-08-10,-0.00022017581707234335
2016-08-11,-0.008909521902820017
2016-08-12,0.01446488259779044
2016-08-15,0.017218827935648218
2016-08-16,-0.0036591378161212607
2016-08-17,-0.0014565266284064515
2016-08-18,0.0034962619391551986
2016-08-19,0.0025667359811922807
2016-08-22,-0.008739012970089166
2016-08-23,-0.0020280403333816643
2016-08-24,-0.003982971124659285
2016-08-25,-0.007645468022698276
2016-08-26,0.0008863950910420471
2016-08-29,0.0032599211027455333
2016-08-30,0.0012097081096325013
2016-08-31,0.004013864865172634
2016-09-01,-0.007173142643777997
2016-09-02,0.005424241960496401
2016-09-05,0.0035095327603533732
2016-09-06,0.004782732538779477
2016-09-07,0.0010137974065709265
2016-09-08,4.794292190934968e-05
2016-09-09,-0.005301554375756634
2016-09-12,-0.013434720826239754
2016-09-13,0.00022556645640459116
2016-09-14,-0.005849834656042607
2016-09-19,0.008600894466753939
2016-09-20,0.0010010743626327478
2016-09-21,0.0006766007740384161
2016-09-22,0.0056053802370752415
2016-09-23,-0.002228931529992151
2016-09-26,-0.012218321218824046
2016-09-27,-0.0006969377373777785
2016-09-28,-0.002153017664229706
2016-09-29,0.0034119684977822473
2016-09-30,0.0029266366481344175
2016-10-10,0.011642331360209646
2016-10-11,0.005171310180744015
2016-10-12,-0.003247406961516819
2016-10-13,0.0020150065544142226
2016-10-14,0.0007231511141017055
2016-10-17,-0.0048486918853374306
2016-10-18,0.009714854092498948
2016-10-19,0.001701054523287393
2016-10-20,0.0012210832906214275
2016-10-21,0.002479855863539715
